SKU;Artículo;UMedida
16095;VARILLA ROSCADA INOX 5/16x3' (7.93 mm x 91.44 cm) ;Uni
16096;VARILLA ROSCADA INOX 3/8x3' (9.52 mm x 91.44 cm) ;Uni
16097;VARILLA ROSCADA INOX 1/2x3' (12.70 mm x 91.44 cm) ;Uni
1620;BASE PARA ESCURRIDOR RUBBERMAID FG1182MAWHT;Uni
16243;VASTAGO PP S103740;Uni
16246;VASTAGO PARA LLAVE FREGADERO 9106810                        ;Uni
16291;"VIDRIO SOLAIRE 40"" CLARO (1.01 m) ";Uni
16382;BARRA DE UÑA 19 mm X 75 cm IMACASA 10148;Uni
16429;JABONERA METALICA CROMADA 15202;Uni
1645;BASURERO 32GL ROJO ACE 2894-AC RED;Uni
1646;BASURERO 121 L VERDE ACE 71162;Uni
16581;GUARDAMOTOR 3RV20214DA10 20-25A P/S0                        ;Uni
16588;"TUERCA MARIPOSA ZINCADA 3/16""(4.76 mm)";Uni
16589;"TUERCA MARIPOSA ZINCADA 1/4""(6.35 mm)";Uni
16595;"TUERCA MARIPOSA INOX 1/4""(6.35 mm) ";Uni
16596;"TUERCA MARIPOSA NIQUELADA 1/2""(12.70 mm) ";Uni
16667;"CUCHARA PARA ALBAÑIL 8"" T-4013/3360                         ";Uni
16668;"CUCHARA PARA ALBAÑIL 9"" T-4013/3360                         ";Uni
16669;"CUCHARA PARA ALBAÑIL 6"" T-4013/3360                         ";Uni
16709;"BOLA PARA TRAILER 1.7/8"" (47.6 mm) 74013 ";Uni
16710;"BOLA PARA TRAILER 2"" (50.8 mm) 74020 ";Uni
16718;"PIN HUECO 1/8X1""(3.17 mm x 25.40 mm) NEGRO";Uni
16719;"PIN HUECO 1/8X1.1/4""(3.17 mm x 31.75 mm) NEGRO";Uni
16756;NIPLE PLASTICO 25A-017 P.P                                  ;Uni
16757;"NIPLE CROMADO 1/2X2"" (12.7 x 50.8 mm) ";Uni
16759;"NIPLE CROMADO 1/2X3"" (12.7 x 7.62 mm)";Uni
16800;LIMPIADOR DE MADERA 650.6 mL (22 oz) SPRAY NARANJA MURPHY 17365/6036362;Uni
16815;"CORTATUBO 1/8-2"" SUPER EGO 701020000";Uni
15637;"TUERCA HEXAGONAL NEGRA ROSCA ORD 1.1/4""(31.75 mm)";Uni
15667;"UNION UNIVERSAL NEGRA 3/4"" (19.05 mm) ";Uni
15668;"UNION UNIVERSAL NEGRA 1"" (25.40 mm) ";Uni
15669;"UNION UNIVERSAL NEGRA 1.1/4"" (31.75 mm) ";Uni
15718;"UNION BRONCE FLARE 5/16"" 42-5                               ";Uni
15722;"UNION BRONCE FLARE 1/2"" 42-8                                ";Uni
15723;"UNION BRONCE 1/4"" 103-4                                     ";Uni
15790;"VALVULA GATE 3/4"" (19.05 mm) 125 RED WHITE ";Uni
15791;"VALVULA GATE 1"" (25.4 mm) 125 RED WHITE ";Uni
15792;"VALVULA GATE 1.1/4"" (31.75 mm) 125 RED WHITE ";Uni
15793;"VALVULA GATE 1.1/2"" (38.1 mm) 125 RED WHITE ";Uni
2499;"BUSHING GALVANIZADO 2 A 3/4"" (50.8 a 19.05 mm)";Uni
2500;"BUSHING GALVANIZADO 2 A 1"" (50.8 a 25.4 mm)";Uni
2503;"BUSHING GALVANIZADO 2.1/2 A 1"" (63.5 a 25.4 mm) ";Uni
2505;"BUSHING GALVANIZADO 2.1/2 A 1.1/2"" (63.5 a 38.1 mm) ";Uni
25050;"TIJERA PARA HOJALATERO 12"" (30.48 cm) ONSITE 713155";Uni
25051;"TIJERA PARA HOJALATERO 8"" (20.32 cm) ONSITE 713151";Uni
25052;"TIJERA PARA HOJALATERO 10"" (25.4 cm) ONSITE 713153";Uni
25059;TORNILLO PARA TIJERA DE PODAR M-5                           ;Uni
2506;"BUSHING GALVANIZADO 2.1/2 A 2"" (63.5 a 50.8 mm) ";Uni
25061;RESORTE PARA TIJERA DE PODAR 70MM                           ;Uni
2507;"BUSHING GALVANIZADO 3 A 1"" (76.2 a 25.4 mm)";Uni
2510;"BUSHING GALVANIZADO 3 A 2"" (76.2 cm a 50.8 cm)";Uni
2513;"BUSHING GALVANIZADO 4 A 1.1/2"" (101.6 a 38.1 mm)";Uni
2514;"BUSHING GALVANIZADO 4 A 2"" (101.6 a 50.8 mm)";Uni
2518;"BUSHING GALVANIZADO 6 A 4"" (15.24 a 10.16 cm)";Uni
25266;"ELECTRODO PARA ACERO INOXIDABLE 3/32"" (2.38 mm) 312 OK 68.81 1 lb (0.453 kg)";0.453 kg
